baseline,y,W,phi_W,exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
B0,2.0,2.0,1.0,15,32768.0,3030.0,-0.0003300330033003296,3.734550497311372,3.734880530314673,2.3917143893054424,2.392044422308743,-0.00033003300330032993,1.1785519176575791e-18,-0.000330033003300332,-0.0003300330033003282,0.2759833036393682
B0,2.0,2.0,1.0,16,65536.0,5709.0,-0.00017516202487300622,3.8303731867167756,3.8305483487416487,2.432039184022842,2.4322143460477146,-0.0001751620248730072,7.8398439995118245e-19,-0.00017516202487300836,-0.00017516202487300595,1.2446446068285473
B0,2.0,2.0,1.0,17,131072.0,10749.0,-9.303190994511066e-05,3.9248345594662375,3.9249275913761825,2.348886925895911,2.3489799578058563,-9.303190994511112e-05,5.402297718076358e-19,-9.303190994511197e-05,-9.303190994511027e-05,0.8529443347124811
B0,2.0,2.0,1.0,18,262144.0,20390.0,-4.9043648847474384e-05,4.00850325326717,4.008552296916018,2.357322982901555,2.3573720265504026,-4.904364884747425e-05,3.1706859939667705e-19,-4.904364884747482e-05,-4.90436488474737e-05,-0.42743201887089294
B0,2.0,2.0,1.0,19,524288.0,38635.0,-2.588326646822805e-05,4.092900420285504,4.092926303551973,2.387302709246699,2.3873285925131675,-2.5883266468228304e-05,2.0192636644484187e-19,-2.588326646822866e-05,-2.588326646822798e-05,1.258428449192655
B0,2.0,2.0,1.0,20,1048576.0,73586.0,-1.3589541488869782e-05,4.169057259959523,4.169070849501011,2.38628355571708,2.3862971452585695,-1.358954148887009e-05,1.3988596564822705e-19,-1.3589541488870325e-05,-1.3589541488869846e-05,2.204080955311138
B0,2.0,2.0,1.0,21,2097152.0,140336.0,-7.125755330064901e-06,4.242863702337939,4.242870828093269,2.3969563669858265,2.3969634927411567,-7.125755330064956e-06,7.85383609709212e-20,-7.1257553300650835e-06,-7.125755330064832e-06,0.701022288864857
B0,2.0,2.0,1.0,22,4194304.0,268216.0,-3.728338354162187e-06,4.313061622265557,4.313065350603911,2.4308119802466472,2.4308157085850013,-3.728338354162307e-06,5.102012761550104e-20,-3.728338354162384e-06,-3.7283383541622178e-06,2.3574750619315843
B0,2.0,2.0,1.0,23,8388608.0,513708.0,0.003608324880912224,4.379794150032082,4.376185825151269,2.397623789284965,2.3940154644040623,-1.9466311601142945e-06,3.836221826474887e-20,-1.9466311601143567e-06,-1.9466311601142314e-06,9.411008214271658e+16
B0,2.0,2.0,1.0,24,16777216.0,985818.0,0.008587399182557336,4.443320231405724,4.4347328322230615,2.425114309773075,2.416526910590481,-1.014386022572117e-06,2.0540107957823518e-20,-1.0143860225721518e-06,-1.014386022572087e-06,4.181289400335732e+17
B0,2.0,2.0,1.0,25,33554432.0,1894120.0,0.006157540710127511,4.5048098307381625,4.498652290028049,2.4362021717383016,2.4300446310282635,-5.27949654720925e-07,1.408060580503618e-20,-5.279496547209488e-07,-5.279496547209038e-07,4.373440138193265e+17
B0,2.0,2.0,1.0,26,67108864.0,3645744.0,0.00014763704241220558,4.563439906212204,4.563292269169895,2.4081792956397465,2.4080316585973778,-2.742924352340716e-07,4.638516778067432e-21,-2.7429243523407993e-07,-2.742924352340641e-07,3.1887636053580188e+16
B1(11),11.0,2310.0,480.0,15,32768.0,3030.0,-0.0003300330033003296,2.2268817153066163,2.2272117483099168,1.8678291177078878,1.868159150711188,-0.00033003300330032993,5.159492476800079e-19,-0.00033003300330033074,-0.00033003300330032917,0.630412105857703
B1(11),11.0,2310.0,480.0,16,65536.0,5709.0,-0.00017516202487300787,2.3407989860311145,2.3409741480559876,1.9555517916005583,1.9557269536254314,-0.00017516202487300738,3.4589267346721223e-19,-0.000175162024873008,-0.00017516202487300687,-1.4105270653115611
B1(11),11.0,2310.0,480.0,17,131072.0,10749.0,-9.303190994511115e-05,2.451310797890532,2.451403829800477,1.9931885012505661,1.9932815331605107,-9.303190994511115e-05,1.9845980146586128e-19,-9.30319099451115e-05,-9.303190994511084e-05,0.0
B1(11),11.0,2310.0,480.0,18,262144.0,20390.0,-4.9043648847474045e-05,2.5482424630296867,2.548291506678534,2.0531412248209437,2.053190268469791,-4.9043648847474235e-05,1.195636136751625e-19,-4.904364884747442e-05,-4.904364884747403e-05,1.586899010098905
B1(11),11.0,2310.0,480.0,19,524288.0,38635.0,-2.5883266468228277e-05,2.645104391691567,2.6451302749580354,2.0899119379634015,2.0899378212298703,-2.5883266468228277e-05,6.9391354364424e-20,-2.5883266468228392e-05,-2.5883266468228175e-05,0.0
B1(11),11.0,2310.0,480.0,20,1048576.0,73586.0,-1.3589541488870198e-05,2.731673799752871,2.73168738929436,2.119798527730704,2.1198121172721924,-1.3589541488870166e-05,3.6605326299746495e-20,-1.3589541488870225e-05,-1.3589541488870102e-05,-0.879305151717397
B1(11),11.0,2310.0,480.0,21,2097152.0,140336.0,-7.125755330064976e-06,2.81495327850538,2.8149604042607104,2.15348875070376,2.15349587645909,-7.125755330064984e-06,2.0082323688684975e-20,-7.125755330065018e-06,-7.125755330064951e-06,0.42178034792435193
B1(11),11.0,2310.0,480.0,22,4194304.0,268216.0,-3.7283383541623186e-06,2.893612067941753,2.8936157962801072,2.1967335545131212,2.1967372828514753,-3.728338354162315e-06,1.1800599148768812e-20,-3.728338354162336e-06,-3.7283383541622974e-06,-0.28711523426085483
B1(11),11.0,2310.0,480.0,23,8388608.0,513708.0,-1.9466311601143097e-06,2.967941836512777,2.9679437831439373,2.1869195638920127,2.1869215105231725,-1.9466311601143068e-06,6.686491914008801e-21,-1.946631160114317e-06,-1.946631160114296e-06,-0.44337379802687205
B1(11),11.0,2310.0,480.0,24,16777216.0,985818.0,-1.0143860225721128e-06,3.038312811995684,3.0383138263817067,2.2231657046458446,2.223166719031867,-1.014386022572117e-06,3.497942105129133e-21,-1.0143860225721232e-06,-1.0143860225721113e-06,1.210758957405658
B1(11),11.0,2310.0,480.0,25,33554432.0,1894120.0,-5.279496547209225e-07,3.1060916189495824,3.1060921468992375,2.241631373674031,2.241631901623686,-5.279496547209259e-07,2.051802298015593e-21,-5.279496547209293e-07,-5.279496547209227e-07,1.6512954451284334
B1(11),11.0,2310.0,480.0,26,67108864.0,3645744.0,-2.7429243523407067e-07,3.1704284777012335,3.170428751993669,2.232415140936067,2.232415415228502,-2.7429243523406993e-07,1.082012067742994e-21,-2.742924352340718e-07,-2.74292435234068e-07,-0.6849774147099034
