exp,X,n,alpha,bits_per_gap,delta_vs_B1_bits_per_gap
12.0,4096.0,464.0,0.0,1.8248967919865362,0.0
12.0,4096.0,464.0,0.03125,1.825160195863407,-0.00026340387687086823
12.0,4096.0,464.0,0.0625,1.8254875475260024,-0.0005907555394662918
12.0,4096.0,464.0,0.125,1.826345570791808,-0.0014487788052717527
12.0,4096.0,464.0,0.25,1.8289655038273354,-0.004068711840799147
12.0,4096.0,464.0,0.5,1.8387507517918513,-0.013853959805315157
12.0,4096.0,464.0,0.75,1.8572865628255362,-0.03238977083900009
12.0,4096.0,464.0,1.0,1.8907918792851985,-0.06589508729866245
13.0,8192.0,872.0,0.0,1.9535628248225994,0.0
13.0,8192.0,872.0,0.03125,1.9540407542684013,-0.00047792944580188394
13.0,8192.0,872.0,0.0625,1.9545905621719062,-0.0010277373493066855
13.0,8192.0,872.0,0.125,1.95591913631176,-0.0023563114891606038
13.0,8192.0,872.0,0.25,1.959597635669427,-0.006034810846827424
13.0,8192.0,872.0,0.5,1.972129709283858,-0.01856688446125859
13.0,8192.0,872.0,0.75,1.9947421388304392,-0.04117931400783982
13.0,8192.0,872.0,1.0,2.0348341042453955,-0.08127127942279605
14.0,16384.0,1612.0,0.0,2.1034336493683,0.0
14.0,16384.0,1612.0,0.03125,2.1037533088207923,-0.000319659452492359
14.0,16384.0,1612.0,0.0625,2.1041469026118853,-0.0007132532435852843
14.0,16384.0,1612.0,0.125,2.105166704628868,-0.0017330552605677263
14.0,16384.0,1612.0,0.25,2.108226842072755,-0.004793192704454934
14.0,16384.0,1612.0,0.5,2.119401155734072,-0.01596750636577238
14.0,16384.0,1612.0,0.75,2.140189187553741,-0.036755538185440924
14.0,16384.0,1612.0,1.0,2.17711188471274,-0.07367823534443986
15.0,32768.0,3030.0,0.0,2.22688171530662,0.0
15.0,32768.0,3030.0,0.03125,2.2272307692680955,-0.00034905396147589857
15.0,32768.0,3030.0,0.0625,2.227652844370974,-0.0007711290643543156
15.0,32768.0,3030.0,0.125,2.2287270280895015,-0.0018453127828816343
15.0,32768.0,3030.0,0.25,2.231886477621443,-0.005004762314823256
15.0,32768.0,3030.0,0.5,2.2432201305203696,-0.016338415213749763
15.0,32768.0,3030.0,0.75,2.264069356922347,-0.03718764161572721
15.0,32768.0,3030.0,1.0,2.300715423527574,-0.07383370822095434
16.0,65536.0,5709.0,0.0,2.340798986031117,0.0
16.0,65536.0,5709.0,0.03125,2.3412141091868026,-0.0004151231556853759
16.0,65536.0,5709.0,0.0625,2.341699650343394,-0.0009006643122767089
16.0,65536.0,5709.0,0.125,2.3428942035598124,-0.0020952175286951444
16.0,65536.0,5709.0,0.25,2.346274554775172,-0.005475568744054969
16.0,65536.0,5709.0,0.5,2.3580035122292022,-0.017204526198084873
16.0,65536.0,5709.0,0.75,2.379217284933103,-0.03841829890198601
16.0,65536.0,5709.0,1.0,2.416148688644174,-0.07534970261305673
17.0,131072.0,10749.0,0.0,2.451310797890533,0.0
17.0,131072.0,10749.0,0.03125,2.451711667190993,-0.00040086930046011955
17.0,131072.0,10749.0,0.0625,2.4521875672739593,-0.0008767693834264216
17.0,131072.0,10749.0,0.125,2.453373531102389,-0.0020627332118564067
17.0,131072.0,10749.0,0.25,2.4567653417353577,-0.005454543844824603
17.0,131072.0,10749.0,0.5,2.4685644272050773,-0.01725362931454437
17.0,131072.0,10749.0,0.75,2.4898070767955653,-0.03849627890503242
17.0,131072.0,10749.0,1.0,2.526490411150571,-0.07517961326003782
18.0,262144.0,20390.0,0.0,2.5482424630296974,0.0
18.0,262144.0,20390.0,0.03125,2.5486087970020077,-0.00036633397231035825
18.0,262144.0,20390.0,0.0625,2.549048783444042,-0.0008063204143446817
18.0,262144.0,20390.0,0.125,2.5501590610312017,-0.0019165980015045385
18.0,262144.0,20390.0,0.25,2.5533848182841874,-0.005142355254490117
18.0,262144.0,20390.0,0.5,2.5647905118997993,-0.016548048870102125
18.0,262144.0,20390.0,0.75,2.585531152936341,-0.03728868990664366
18.0,262144.0,20390.0,1.0,2.6214941080575627,-0.07325164502786553
